expression,from,next,prev
"* * * * *",2026-01-01T00:00:00,2026-01-01T00:01:00,2026-01-01T00:00:00
"* * * * *",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-28T23:59:00
"* * * * *",2026-03-01T00:00:30,2026-03-01T00:01:00,2026-03-01T00:00:00
"* * * * *",2026-06-15T14:30:45,2026-06-15T14:31:00,2026-06-15T14:30:00
"* * * * *",2026-07-03T14:30:45,2026-07-03T14:31:00,2026-07-03T14:30:00
"* * * * *",2026-08-31T23:00:00,2026-08-31T23:01:00,2026-08-31T23:00:00
"* * * * *",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-31T23:59:00
"* * * * *",2027-01-01T00:00:00,2027-01-01T00:01:00,2027-01-01T00:00:00
"* * * * *",2028-02-28T12:00:00,2028-02-28T12:01:00,2028-02-28T12:00:00
"* * * * *",2028-02-29T12:00:00,2028-02-29T12:01:00,2028-02-29T12:00:00
"* * * * *",2026-09-01T09:59:59,2026-09-01T10:00:00,2026-09-01T09:59:00
"* * * * *",2026-11-23T04:05:06,2026-11-23T04:06:00,2026-11-23T04:05:00
"*/5 * * * *",2026-01-01T00:00:00,2026-01-01T00:05:00,2026-01-01T00:00:00
"*/5 * * * *",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-28T23:55:00
"*/5 * * * *",2026-03-01T00:00:30,2026-03-01T00:05:00,2026-03-01T00:00:00
"*/5 * * * *",2026-06-15T14:30:45,2026-06-15T14:35:00,2026-06-15T14:30:00
"*/5 * * * *",2026-07-03T14:30:45,2026-07-03T14:35:00,2026-07-03T14:30:00
"*/5 * * * *",2026-08-31T23:00:00,2026-08-31T23:05:00,2026-08-31T23:00:00
"*/5 * * * *",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-31T23:55:00
"*/5 * * * *",2027-01-01T00:00:00,2027-01-01T00:05:00,2027-01-01T00:00:00
"*/5 * * * *",2028-02-28T12:00:00,2028-02-28T12:05:00,2028-02-28T12:00:00
"*/5 * * * *",2028-02-29T12:00:00,2028-02-29T12:05:00,2028-02-29T12:00:00
"*/5 * * * *",2026-09-01T09:59:59,2026-09-01T10:00:00,2026-09-01T09:55:00
"*/5 * * * *",2026-11-23T04:05:06,2026-11-23T04:10:00,2026-11-23T04:05:00
"*/10 * * * *",2026-01-01T00:00:00,2026-01-01T00:10:00,2026-01-01T00:00:00
"*/10 * * * *",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-28T23:50:00
"*/10 * * * *",2026-03-01T00:00:30,2026-03-01T00:10:00,2026-03-01T00:00:00
"*/10 * * * *",2026-06-15T14:30:45,2026-06-15T14:40:00,2026-06-15T14:30:00
"*/10 * * * *",2026-07-03T14:30:45,2026-07-03T14:40:00,2026-07-03T14:30:00
