input,rounded
0.05,0
0.15,0.2
0.25,0.2
0.35,0.4
0.45,0.4
1.05,1
1.15,1.2
2.5,2.5
3.5,3.5
-0.25,-0.2
-1.15,-1.2
0.449,0.4
0.451,0.5
99.95,100
100.05,100
0,0
7.317,7.3
14.668,14.7
22.053,22.1
29.472,29.5
36.925,36.9
44.412,44.4
51.933,51.9
59.488,59.5
67.077,67.1
74.7,74.7
82.357,82.4
90.048,90
97.773,97.8
105.532,105.5
113.325,113.3
121.152,121.2
129.013,129
136.908,136.9
144.837,144.8
152.8,152.8
160.797,160.8
168.828,168.8
176.893,176.9
184.992,185
193.125,193.1
201.292,201.3
209.493,209.5
217.728,217.7
225.997,226
234.3,234.3
242.637,242.6
251.008,251
259.413,259.4
267.852,267.9
276.325,276.3
284.832,284.8
293.373,293.4
301.948,301.9
310.557,310.6
319.2,319.2
327.877,327.9
336.588,336.6
345.333,345.3
354.112,354.1
362.925,362.9
371.772,371.8
380.653,380.7
389.568,389.6
398.517,398.5
407.5,407.5
416.517,416.5
425.568,425.6
434.653,434.7
443.772,443.8
452.925,452.9
462.112,462.1
471.333,471.3
480.588,480.6
489.877,489.9
499.2,499.2
508.557,508.6
517.948,517.9
527.373,527.4
536.832,536.8
546.325,546.3
555.852,555.9
565.413,565.4
575.008,575
584.637,584.6
594.3,594.3
603.997,604
613.728,613.7
623.493,623.5
633.292,633.3
643.125,643.1
652.992,653
662.893,662.9
672.828,672.8
682.797,682.8
692.8,692.8
702.837,702.8
712.908,712.9
723.013,723
733.152,733.2
743.325,743.3
753.532,753.5
763.773,763.8
774.048,774
784.357,784.4
794.7,794.7
805.077,805.1
815.488,815.5
825.933,825.9
836.412,836.4
846.925,846.9
857.472,857.5
868.053,868.1
878.668,878.7
889.317,889.3
900,900
910.717,910.7
921.468,921.5
932.253,932.3
943.072,943.1
953.925,953.9
964.812,964.8
975.733,975.7
986.688,986.7
997.677,997.7
8.7,8.7
19.757,19.8
30.848,30.8
41.973,42
53.132,53.1
64.325,64.3
75.552,75.6
86.813,86.8
98.108,98.1
109.437,109.4
120.8,120.8
132.197,132.2
143.628,143.6
155.093,155.1
166.592,166.6
178.125,178.1
189.692,189.7
201.293,201.3
212.928,212.9
224.597,224.6
236.3,236.3
248.037,248
259.808,259.8
271.613,271.6
283.452,283.5
295.325,295.3
307.232,307.2
319.173,319.2
331.148,331.1
343.157,343.2
355.2,355.2
367.277,367.3
379.388,379.4
391.533,391.5
403.712,403.7
415.925,415.9
428.172,428.2
440.453,440.5
452.768,452.8
465.117,465.1
477.5,477.5
489.917,489.9
502.368,502.4
514.853,514.9
527.372,527.4
539.925,539.9
552.512,552.5
565.133,565.1
577.788,577.8
590.477,590.5
603.2,603.2
615.957,616
628.748,628.7
641.573,641.6
654.432,654.4
667.325,667.3
680.252,680.3
693.213,693.2
706.208,706.2
719.237,719.2
732.3,732.3
745.397,745.4
758.528,758.5
771.693,771.7
784.892,784.9
798.125,798.1
811.392,811.4
824.693,824.7
838.028,838
851.397,851.4
864.8,864.8
878.237,878.2
891.708,891.7
905.213,905.2
918.752,918.8
